gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
RPL35,essential,no,yes,no,no,yes,yes,yes,no,no,-9.22525028999088,-10.1894759214145,-1.66809283371551,-1.17546085443904,9.99900009999e-05,9.99900009999e-05,0.0168983101689831,0.0047995200479952,0,0,-9.26092547122961,-9.21813472372673,-9.25764301162689,-9.09912947073547,-8.23451111621276
RPL36,essential,no,yes,no,no,yes,yes,yes,no,no,-8.67861670599309,-9.10169878451829,-1.86420062298704,-1.06766156517522,0.0002999700029997,0.0010998900109989,0.0095990400959904,0.0074992500749925,0,0.00990099009900991,-9.35707988915922,-9.06708626725476,-9.1068379924913,-8.72291317437554,-8.40060241028741
RPL36A,essential,no,yes,no,no,yes,no,no,no,no,-7.0042736407351,-4.42301423388858,-0.984025212178507,0.0135460312048643,0.0170982901709829,0.0686931306869313,0.0498950104989501,0.717628237176282,0.0396039603960396,0.227722772277228,-6.71104886289173,-6.52273892813534,-6.77033996355122,-7.02823997953729,-7.59387388092478
RPL37,essential,no,yes,no,no,no,yes,no,no,no,-8.25009402552493,-8.58084100688227,-1.4162271964362,-0.887461886802077,0.0033996600339966,0.0038996100389961,0.0255974402559744,0.0155984401559844,0.00990099009900991,0.0198019801980198,-8.5382976976602,-8.9755056039924,-9.45089527544149,-8.87966285710207,-8.93831062835671
RPL39,essential,no,yes,no,no,no,no,no,no,no,,-6.9761225637133,,-0.334513115765082,,0.0282971702829717,,0.0673932606739326,,0.0396039603960396,,,,,
RPL4,essential,no,yes,no,no,yes,yes,yes,no,no,-15.4011175600966,-12.8327785931226,-2.45579727277994,-1.20708201645546,9.99900009999e-05,9.99900009999e-05,0.0013998600139986,0.0041995800419958,0,0,-15.07561022045,-14.1083585308129,-15.2563314038242,-12.9160251367858,-12.1697296792441
RPL5,essential,no,yes,no,no,yes,yes,no,no,no,-11.5826206126793,-13.1341378908818,-2.21850716276641,-1.44035274452589,9.99900009999e-05,9.99900009999e-05,0.0052994700529947,0.0006999300069993,0,0,-9.5751686698118,-9.22859151192169,-9.16158850726271,-9.49530527911101,-8.58122319927695
RPL6,essential,no,yes,no,no,yes,yes,yes,no,no,-10.5648356531452,-10.6804333419638,-1.90984092659204,-1.06305252944049,9.99900009999e-05,0.0001999800019998,0.0101989801019898,0.0080991900809919,0,0,-9.44691055191813,-9.75193464500001,-10.9385766591705,-9.88396093398444,-9.28554989159585
RPL7,essential,no,yes,no,no,yes,yes,no,no,no,-11.4121335135324,-14.590636510675,-1.75639852895506,-1.50062838133824,9.99900009999e-05,9.99900009999e-05,0.0143985601439856,0.0003999600039996,0,0,-10.4718696272715,-10.0216355316483,-11.4147308626926,-10.0400421163418,-9.50003538016695
RPL7A,essential,no,yes,no,no,no,yes,no,no,no,,-12.9757588749451,,-1.15016864014289,,9.99900009999e-05,,0.0048995100489951,,0,,,,,
