gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
RPL7A,essential,no,yes,no,no,no,yes,no,no,no,,-12.9757588749451,,-1.15016864014289,,9.99900009999e-05,,0.0048995100489951,,0,-7.3361623894836,-7.89873839393388,-7.42409663541552,-6.19693290957702,-5.87111563431703
RPL8,essential,no,yes,no,no,yes,no,yes,no,no,-12.0005155937542,-8.73530413789157,-2.34499709907591,-0.676220293966478,9.99900009999e-05,0.0067993200679932,0.0005999400059994,0.025997400259974,0,0,-5.23598479461263,-6.26226469526674,-6.21882420719306,-6.00744030421016,-5.65510695694904
RPL9,essential,no,yes,no,no,no,no,no,no,no,,-10.1304920967371,,-0.978038355011638,,0.0004999500049995,,0.0114988501149885,,0,-6.41173666343509,-6.4762473570126,-6.48828499520718,-6.22010647658485,-5.67696467138888
RPS10,essential,no,yes,no,no,no,no,no,no,no,-8.55275217445055,-9.3470633621846,-1.42119340023861,-0.992940666597422,0.0026997300269973,0.0007999200079992,0.0292970702929707,0.0094990500949905,0.00990099009900991,0.00990099009900991,-10.578340198825,-9.84601971106288,-9.55743739325788,-9.58175319375855,-9.12753479807003
RPS11,essential,no,yes,no,no,yes,yes,yes,no,no,-11.4403043904991,-10.5829728015591,-2.21854717405776,-1.12527574636601,9.99900009999e-05,9.99900009999e-05,0.0024997500249975,0.0062993700629937,0,0,-7.54563417455833,-7.68735308313095,-7.92784018332174,-7.87798604532435,-7.30126692947857
RPS12,essential,no,yes,no,no,yes,yes,yes,no,no,-12.2594313739196,-10.7343184304588,-2.21904709865703,-0.783607997368077,9.99900009999e-05,0.0018998100189981,0.0031996800319968,0.0202979702029797,0,0.0297029702970297,-7.77752841019543,-8.48568629734174,-8.49335421261474,-7.71514964634427,-7.24169763105431
RPS13,essential,no,yes,no,no,yes,yes,yes,no,no,-12.4833468280124,-11.0632070388699,-2.32682878076538,-1.22737154496567,9.99900009999e-05,9.99900009999e-05,0.0018998100189981,0.0025997400259974,0,0,-7.8015604480618,-8.1719104771298,-7.85173221050135,-7.70738005510794,-7.31971902650542
RPS14,essential,no,yes,no,no,yes,yes,no,no,no,,-10.7173543335633,,-1.03569308805751,,9.99900009999e-05,,0.007999200079992,,0.0198019801980198,-8.0616995870526,-8.26767650139386,-8.09030023214119,-7.98706266667782,-7.50769661101814
RPS15,essential,no,yes,no,no,yes,yes,no,no,no,-10.0268317083252,-8.87699371821756,-2.03325360982883,-0.923355723042115,9.99900009999e-05,0.0018998100189981,0.00999900009999,0.0141985801419858,0,0.00990099009900991,-7.20889417750807,-7.37922481121793,-7.58518447263917,-7.5977863973661,-7.27123680770441
RPS15A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.9013078897664,-12.8172261801151,-2.0927288932651,-1.39947572573911,9.99900009999e-05,9.99900009999e-05,0.0032996700329967,0.0006999300069993,0,0,-10.6182047973889,-10.447688949849,-10.8173114458847,-10.6497524406212,-10.2052138770717
