gene	Estimate	Std..Error	t.value	Pr...t..	ctrl_mean	case_mean	ctrl_sd	case_sd	ctrl_n	case_n	rra_score	rra_p	rra_fdr	u_gene	u_neig	NICE_score
WDR83	0.0743874211055647	0.104898946258815	0.70913411200557	0.48507365013279	-0.523538949260384	-0.399934728967489	0.265872811269903	0.167966628611457	22	8	0.032245407526667	0.316348100727736	0.74074954093044	0.699673355109659	0.427064862342511	-1.20796106325266
WDR83OS	0.00629261807269727	0.0539965910522492	0.116537321154372	0.90819641199154	-0.265476646683615	-0.284349185143069	0.131070457834599	0.0823555000405697	22	8	0.0423096452774761	0.315285428158129	0.739392287746629	0.505366308912739	0.426411572561829	-1.53482201481699
WDR86	-0.0199347584187606	0.0368096044963262	-0.541564048066593	0.593111342670078	-0.0391374495515666	-0.0696361571734525	0.0855767643458328	0.0744304366866101	22	8	0.0984161036675252	0.438663552166693	0.840235960219184	0.306299580027998	0.522025198320112	-1.83323105587833
WDR87	0.0185236175169178	0.0539618958067445	0.343272178265512	0.734382538959404	-0.0531745686806256	-0.0385714174883946	0.108307485527	0.146850859544851	22	8	0.458174379247786	0.850264185441131	0.999711429236435	0.579841343910406	0.835090993933738	-0.725215343141641
WDR88	-0.0197974315586647	0.0480663296336669	-0.411877330962215	0.684084796029563	-0.100051025710052	-0.140379669950948	0.107350731612218	0.119846036032267	22	8	0.449135625101593	0.900174120815021	0.999711429236435	0.343817078861409	0.880447970135324	-1.19496995459595
WDR89	-0.0129088327829792	0.0342637915423554	-0.376748520869965	0.709670998456606	-0.0704799473936834	-0.0787981280414735	0.0723314042728807	0.0973454868404788	22	8	0.438908925602056	0.952913727884864	0.999711429236435	0.35426971535231	0.933831077928138	-1.10615646403739
WDR93	-0.0817471884428437	0.0360151656039632	-2.26979904359646	0.032486570041386	-0.00279453940036347	-0.0892356977148884	0.0831982507570529	0.0847340625234512	22	8	0.0166655070904404	0.121479302284702	0.481201746388386	0.0380774615025665	0.252449836677555	-4.64467545013061
WDSUB1	-0.015031239003177	0.0387590118525396	-0.387812750757527	0.701572935074188	-0.0869626363489595	-0.0656986450896085	0.079650721589132	0.133891477358583	22	8	0.0263518316255518	0.199851997757263	0.604959556189544	0.3506299580028	0.330284647690154	-2.15582428989592
WDTC1	0.0633041224503217	0.0609286363489505	1.03898800701474	0.309165124535995	-0.259602366794954	-0.235418384166431	0.119549178225292	0.194099584700391	22	8	0.0412189026440198	0.52696805155612	0.895411143739903	0.784507699486701	0.588520765282315	-0.772841960145287
WEE1	0.0550756951120057	0.0875643010417991	0.628974301818673	0.535307239184039	-2.2580923618988	-2.21101427183646	0.186884412998548	0.245914168397373	22	8	0.0253329261020559	0.326223313503926	0.749460292494548	0.672795146990201	0.43527764815679	-1.22808556338045
WFDC10B	0.0316303389668577	0.0343573378033766	0.920628342855748	0.366406343739003	-0.0221615198438406	0.0088752929537892	0.0808652454834175	0.095914768773274	22	8	0.4125209495043	0.86170697419819	0.999711429236435	0.756602893140457	0.843397106859543	-0.449234110925692
WFDC11	0.0553224025187331	0.0506380710793682	1.09250611920077	0.285456433293317	-0.022173653181778	0.0244299173996259	0.120040101818167	0.0663865236725715	22	8	0.401254637886848	0.750807468986264	0.996503512927737	0.795893607092861	0.753429771348577	-0.511409230014714
WFDC13	0.00812476433881343	0.0385519967239885	0.210748210967706	0.834862876529169	-0.0329841284032375	-0.0332354444097792	0.0860102189593914	0.0874532780862708	22	8	0.307086938631617	0.804888586411796	0.999711429236435	0.536164255716286	0.798320111992534	-0.848560336745645
WFDC2	0.00734574174298879	0.0394952370217877	0.185990572456534	0.854015226967231	-0.00616507005701015	0.0035509492011838	0.0937124879402812	0.0733791772559625	22	8	0.597387294218091	0.965388841317562	0.999711429236435	0.528138124125058	0.948016798880075	-0.691780487311641
WFDC3	0.0285837957371296	0.0370003212262365	0.772528312993704	0.447343113088068	-0.00879634060597006	-0.00557743476342074	0.0833171422181049	0.106366374462111	22	8	0.760401425446517	0.976834985435573	0.999711429236435	0.716938870741951	0.959869342043864	-0.373722804822447
WFDC5	0.107542205506993	0.0296917041213619	3.62196137572382	0.00136113200009916	-0.042422852751157	0.050131504343058	0.0704116415724321	0.071951724469728	22	8	0.285370883372795	0.812834574070912	0.999711429236435	0.996266915538964	0.805599626691554	-0.219908470780559
WFDC9	0.107310691898692	0.063844773486515	1.68080621229485	0.10577124831637	-0.179786009926408	-0.115421938774123	0.127714560880701	0.203179592399762	22	8	0.549671028950852	0.900484100492069	0.999711429236435	0.906299580027998	0.880821278581428	-0.225285900934668
WFIKKN1	-0.0352817636495021	0.0471408029420316	-0.748433659326668	0.461470760534753	-0.0136190029003378	-0.0297155277521265	0.112620417547875	0.0910189223190132	22	8	0.183927058863716	0.628226161165187	0.948858974064502	0.255342977134858	0.661969202053196	-1.77768387587083
WFIKKN2	-0.0113276215754569	0.0386417497070451	-0.293144634012049	0.771931378879695	-0.124269199811716	-0.0881032177493875	0.0962115371521716	0.132116494203459	22	8	0.151952847111079	0.559908639990656	0.914824805962166	0.376201586560896	0.612039197386841	-1.4685890952936
WHAMM	-0.070383419177091	0.0403584131159531	-1.74395903463483	0.0939633709290819	-0.0934398069702374	-0.17296195905088	0.0763758311894675	0.121746487918346	22	8	0.0681924962648419	0.440282676444799	0.8409349174836	0.080727951469902	0.523191787214186	-3.16447757715874
WIF1	0.102160170389643	0.039636863681537	2.57740297543345	0.0165260462805181	-0.0206356381354353	0.0577019817753325	0.084292459871208	0.109323539423649	22	8	0.25367757651881	0.878615633136826	0.999711429236435	0.976574895007	0.860662622491834	-0.173756529351724
WIPF1	0.0445954262616841	0.0314772101601778	1.41675282004828	0.169405603877053	-0.00945474117530031	0.0337493768959723	0.0837821169486505	0.0561808320425362	22	8	0.392888048514029	0.963213990275329	0.999711429236435	0.861502566495567	0.945776948203453	-0.204825765789348
WIPF2	-0.0303383310998555	0.0463875965607838	-0.654018171864149	0.519318346168797	-0.0870153981358034	-0.0730225704987543	0.0857172871589792	0.178370634115208	22	8	0.373289853936215	0.949468496072369	0.999711429236435	0.277461502566496	0.929444703686421	-1.35524104888562
