GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
BRCA2	PKLR	SL	-0.953609542099414	-0.0340149872381227	Double KO screens	LOF
BRCA2	SMARCB1	SL	-0.951307771390813	0.208847200496131	Double KO screens	LOF
BRCA2	SPHK2	SL	-0.356139381269392	0.356233555435643	Double KO screens	LOF
BRCA2	WEE1	SL	-1.82718420199006	-1.04126864895599	Double KO screens	LOF
BRD2	CARM1	SL	-0.653476069344962	-0.030439693085482	Double KO screens	LOF
BRD2	CYP4F12	SL	-1.1680593341644	-0.30290934715819	Double KO screens	LOF
BRD2	LARS2	SL	-1.4314012028199	-0.355457519046773	Double KO screens	LOF
BRD2	LIG1	SL	-0.579478662869075	0.407452213623122	Double KO screens	LOF
BRD4	KDM5C	SL	-0.587033584022976	0.162619243032656	Double KO screens	LOF
BRD4	MAP2K1	SL	-1.14517783851605	-0.934853002244436	Double KO screens	LOF
BSG	GPI	SL	-0.655584682708177	-0.393986700788363	Double KO screens	LOF
BUB1B	CENPK	SL	-1.22094201963973	-1.1656852116254	Double KO screens	LOF
BUB1B	CENPM	SL	-1.32466895049366	-1.45407899038213	Double KO screens	LOF
BUB1B	LEO1	SL	-0.46515162108522	0.388501906641795	Double KO screens	LOF
BUB1B	SKA3	SL	-0.53512745881271	-0.372585244287707	Double KO screens	LOF
BUB1B	WDR61	SL	-0.750120743467137	0.72419187353106	Double KO screens	LOF
CAMK1D	GMPS	SL	-1.71392751515757	-1.56236959023468	Double KO screens	LOF
CAMK1D	PIK3CD	SL	-0.589585379354032	1.45579457043845	Double KO screens	LOF
CAMK2G	CYP4F12	SL	-1.17820601918775	-0.713489254421769	Double KO screens	LOF
CAMK2G	ERBB2	SL	-0.923845462003894	0.0707277636848788	Double KO screens	LOF
CAMK2G	GPX1	SL	-1.88694128667654	-1.68602668778608	Double KO screens	LOF
CAMK2G	LCK	SL	-0.170830091389596	0.933724418563547	Double KO screens	LOF
CAMK2G	MAPKAPK2	SL	-1.03136398763073	0.0609374650228078	Double KO screens	LOF
CAMK2G	PIK3CG	SL	-1.18541718789389	-0.590835382466645	Double KO screens	LOF
CAMK2G	PRSS8	SL	-0.137720750361387	1.22149869021883	Double KO screens	LOF
CAPZB	LEO1	SL	-0.71511354068139	0.280187202603304	Double KO screens	LOF
CARM1	FABP4	SL	-3.02536773210733	0.0307126248407908	Double KO screens	LOF
CASP8	CDK9	SL	-0.833729561382129	0.772737422039247	Double KO screens	LOF
CASP8	CHEK1	SL	-1.39642997699563	-0.699347529383931	Double KO screens	LOF
CASP8	MTOR	SL	-1.24029250949153	-0.85410751847712	Double KO screens	LOF
CASP8	VHL	SL	-0.759630886711417	-0.362108803360931	Double KO screens	LOF
CCNK	LEO1	SL	-0.972076964556502	0.0308767123545697	Double KO screens	LOF
CDC25A	EHMT2	SL	-0.622891146324532	1.14077369739969	Double KO screens	LOF
CDC25A	ERBB2	SL	-0.871331449986041	0.0823025447003391	Double KO screens	LOF
CDC25A	FGFR3	SL	-0.779916155354784	0.17396044959124	Double KO screens	LOF
CDC25A	HMGA1	SL	-0.697422513676978	0.398660685522865	Double KO screens	LOF
CDC25A	MASP2	SL	-0.64061562388442	0.04142304551116	Double KO screens	LOF
CDC25A	OXT	SL	-1.98763267964493	-1.47976429123775	Double KO screens	LOF
CDC25A	PIK3C2B	SL	-0.789147085129958	0.671408503748303	Double KO screens	LOF
